week,halloween,costumes
16/02/2014,1,1
23/02/2014,1,1
02/03/2014,1,1
09/03/2014,1,1
16/03/2014,1,1
23/03/2014,1,1
30/03/2014,1,1
06/04/2014,1,1
13/04/2014,1,1
20/04/2014,1,1
27/04/2014,1,1
04/05/2014,1,1
11/05/2014,1,1
18/05/2014,1,1
25/05/2014,1,1
01/06/2014,1,1
08/06/2014,1,1
15/06/2014,1,1
22/06/2014,1,1
29/06/2014,1,1
06/07/2014,1,1
13/07/2014,2,1
20/07/2014,2,1
27/07/2014,2,2
03/08/2014,3,2
10/08/2014,3,2
17/08/2014,4,3
24/08/2014,5,3
31/08/2014,7,4
07/09/2014,10,6
14/09/2014,13,7
21/09/2014,18,9
28/09/2014,24,12
05/10/2014,29,14
12/10/2014,34,15
19/10/2014,46,19
26/10/2014,95,29
02/11/2014,10,3
09/11/2014,2,1
16/11/2014,2,1
23/11/2014,1,1
30/11/2014,1,1
07/12/2014,1,1
14/12/2014,1,1
21/12/2014,1,1
28/12/2014,1,1
04/01/2015,1,1
11/01/2015,1,1
18/01/2015,1,1
25/01/2015,1,1
01/02/2015,1,1
08/02/2015,1,1
15/02/2015,1,1
22/02/2015,1,1
01/03/2015,1,1
08/03/2015,1,1
15/03/2015,1,1
22/03/2015,1,1
29/03/2015,1,1
05/04/2015,1,1
12/04/2015,1,1
19/04/2015,1,1
26/04/2015,1,1
03/05/2015,1,1
10/05/2015,1,1
17/05/2015,1,1
24/05/2015,1,1
31/05/2015,1,1
07/06/2015,1,1
14/06/2015,1,1
21/06/2015,1,1
28/06/2015,1,1
05/07/2015,2,1
12/07/2015,2,1
19/07/2015,2,1
26/07/2015,2,2
02/08/2015,3,2
09/08/2015,3,2
16/08/2015,4,2
23/08/2015,6,3
30/08/2015,8,4
06/09/2015,10,6
13/09/2015,14,7
20/09/2015,18,9
27/09/2015,26,12
04/10/2015,33,14
11/10/2015,36,15
18/10/2015,46,18
25/10/2015,100,32
01/11/2015,21,5
08/11/2015,3,1
15/11/2015,2,1
22/11/2015,2,1
29/11/2015,1,1
06/12/2015,1,1
13/12/2015,1,1
20/12/2015,1,1
27/12/2015,1,1
03/01/2016,1,1
10/01/2016,1,1
17/01/2016,1,1
24/01/2016,1,1
31/01/2016,1,1
07/02/2016,1,1
14/02/2016,1,1
21/02/2016,1,1
28/02/2016,1,1
06/03/2016,1,1
13/03/2016,1,1
20/03/2016,1,1
27/03/2016,1,1
03/04/2016,1,1
10/04/2016,1,1
17/04/2016,1,1
24/04/2016,1,1
01/05/2016,1,1
08/05/2016,1,1
15/05/2016,1,1
22/05/2016,1,1
29/05/2016,1,1
05/06/2016,1,1
12/06/2016,1,1
19/06/2016,1,1
26/06/2016,1,1
03/07/2016,2,1
10/07/2016,2,1
17/07/2016,2,1
24/07/2016,2,1
31/07/2016,3,2
07/08/2016,3,2
14/08/2016,4,2
21/08/2016,5,3
28/08/2016,7,4
04/09/2016,10,5
11/09/2016,13,7
18/09/2016,16,8
25/09/2016,20,10
02/10/2016,29,13
09/10/2016,34,14
16/10/2016,41,16
23/10/2016,69,24
30/10/2016,54,10
06/11/2016,4,1
13/11/2016,2,1
20/11/2016,2,1
27/11/2016,1,1
04/12/2016,1,1
11/12/2016,1,1
18/12/2016,1,1
25/12/2016,2,1
01/01/2017,1,1
08/01/2017,1,1
15/01/2017,1,1
22/01/2017,1,1
29/01/2017,1,1
05/02/2017,1,1
12/02/2017,1,1
19/02/2017,1,1
26/02/2017,1,1
05/03/2017,1,1
12/03/2017,1,1
19/03/2017,1,1
26/03/2017,1,1
02/04/2017,1,1
09/04/2017,1,1
16/04/2017,1,1
23/04/2017,1,1
30/04/2017,1,1
07/05/2017,1,1
14/05/2017,1,1
21/05/2017,1,1
28/05/2017,1,1
04/06/2017,1,1
11/06/2017,1,1
18/06/2017,1,1
25/06/2017,1,1
02/07/2017,2,1
09/07/2017,2,1
16/07/2017,2,1
23/07/2017,2,1
30/07/2017,3,2
06/08/2017,4,2
13/08/2017,4,2
20/08/2017,5,2
27/08/2017,7,3
03/09/2017,9,4
10/09/2017,12,6
17/09/2017,16,7
24/09/2017,18,8
01/10/2017,28,11
08/10/2017,33,13
15/10/2017,41,15
22/10/2017,63,22
29/10/2017,59,12
05/11/2017,4,1
12/11/2017,2,1
19/11/2017,2,1
26/11/2017,1,1
03/12/2017,1,1
10/12/2017,1,1
17/12/2017,1,1
24/12/2017,1,1
31/12/2017,1,1
07/01/2018,1,1
14/01/2018,1,1
21/01/2018,1,1
28/01/2018,1,1
04/02/2018,1,1
11/02/2018,1,1
18/02/2018,1,1
25/02/2018,1,1
04/03/2018,1,1
11/03/2018,1,1
18/03/2018,1,1
25/03/2018,1,1
01/04/2018,1,1
08/04/2018,1,1
15/04/2018,1,1
22/04/2018,1,1
29/04/2018,1,1
06/05/2018,1,1
13/05/2018,1,1
20/05/2018,1,1
27/05/2018,1,1
03/06/2018,2,1
10/06/2018,2,1
17/06/2018,2,1
24/06/2018,2,1
01/07/2018,2,1
08/07/2018,2,1
15/07/2018,2,1
22/07/2018,3,1
29/07/2018,3,1
05/08/2018,4,2
12/08/2018,5,2
19/08/2018,6,2
26/08/2018,7,3
02/09/2018,11,4
09/09/2018,14,5
16/09/2018,17,7
23/09/2018,21,8
30/09/2018,32,11
07/10/2018,37,12
14/10/2018,49,14
21/10/2018,66,19
28/10/2018,78,15
04/11/2018,7,1
11/11/2018,3,1
18/11/2018,2,1
25/11/2018,2,1
02/12/2018,2,1
09/12/2018,2,1
16/12/2018,2,1
23/12/2018,2,1
30/12/2018,2,1
06/01/2019,1,1
13/01/2019,2,1
20/01/2019,2,1
27/01/2019,1,1
03/02/2019,1,1
10/02/2019,1,1
